"term","frequency","density","occurrence"
"crowds",2,6.17485967631386e-06,8e-04
"docs",153,0.00047237676523801,0.0588
"dvds",72,0.000222294948347299,0.0276
"east",35,0.000108060044335492,0.0088
"egroups",133,0.000410628168474871,0.0512
"email",683,0.00210871457946118,0.2092
"far",192,0.00059278652892613,0.064
"fast",100,0.000308742983815693,0.0332
"features",66,0.000203770369318357,0.0192
"forteana",152,0.000469289335399853,0.0508
"free",478,0.00147579146263901,0.1292
"granite",2,6.17485967631386e-06,4e-04
"greek",2,6.17485967631386e-06,8e-04
"group",420,0.00129672053202591,0.1436
"groups",327,0.00100958955707732,0.072
"gsolb",87,0.000268606395919653,0.0348
"high",216,0.000666884845041896,0.0544
"http",4000,0.0123497193526277,0.7436
"ideal",11,3.39617282197262e-05,0.0044
"info",249,0.000768770029701075,0.086
"join",95,0.000293305834624908,0.0316
"judged",5,1.54371491907846e-05,0.002
"kerdylio",1,3.08742983815693e-06,4e-04
"limestone",5,1.54371491907846e-05,8e-04
"martin",25,7.71857459539232e-05,0.008
"mghaa",11,3.39617282197262e-05,0.0044
"miles",28,8.6448035468394e-05,0.0076
"monastic",1,3.08742983815693e-06,4e-04
"mount",10,3.08742983815693e-05,0.0028
"mountain",23,7.10108862776093e-05,0.0076
"museum",11,3.39617282197262e-05,0.0032
"now",827,0.00255330447615578,0.2236
"nxieaa",51,0.000157458921746003,0.0204
"papadopoulos",1,3.08742983815693e-06,4e-04
"park",44,0.000135846912878905,0.0124
"patriotic",1,3.08742983815693e-06,4e-04
"plan",75,0.00023155723786177,0.02
"planned",16,4.93988774105108e-05,0.0064
"posted",118,0.000364316720902517,0.038
"pretty",133,0.000410628168474871,0.0468
"ptybb",51,0.000157458921746003,0.0204
"restored",9,2.77868685434123e-05,0.0036
"salonika",1,3.08742983815693e-06,4e-04
"sculptor",3,9.26228951447078e-06,0.0012
"sculpture",3,9.26228951447078e-06,0.0012
"send",261,0.000805819187758958,0.0904
"sponsor",104,0.00032109270316832,0.0388
"tassos",1,3.08742983815693e-06,4e-04
"terms",181,0.000558824800706404,0.0652
"unsubscribe",293,0.00090461694257998,0.058
"use",1283,0.00396117248235534,0.2512
"weather",33,0.000101885184659179,0.0092
"well",465,0.00143565487474297,0.1336
"wide",35,0.000108060044335492,0.0132
"yahoo",531,0.00163942524406133,0.0728
"agencies",28,8.6448035468394e-05,0.0044
"appeared",19,5.86611669249816e-05,0.0072
"armed",21,6.48360266012955e-05,0.0044
"attempt",43,0.000132759483040748,0.0152
"august",136,0.000419890457989342,0.046
"authorities",12,3.70491580578831e-05,0.0044
"automatic",19,5.86611669249816e-05,0.0072
"available",126,0.000389016159607773,0.0424
"away",132,0.000407540738636714,0.0448
"ballet",2,6.17485967631386e-06,8e-04
"blocks",8,2.46994387052554e-05,0.0032
"blow",13,4.01365878960401e-05,0.0052
"bolshoi",1,3.08742983815693e-06,4e-04
"building",106,0.000327267562844634,0.028
"carrying",12,3.70491580578831e-05,0.0048
"citing",4,1.23497193526277e-05,0.0016
"claimed",21,6.48360266012955e-05,0.0076
"continued",11,3.39617282197262e-05,0.004
"custody",5,1.54371491907846e-05,0.0012
"demanded",5,1.54371491907846e-05,0.002
"details",56,0.000172896070936788,0.0192
"drove",11,3.39617282197262e-05,0.0036
"ekho",1,3.08742983815693e-06,4e-04
"escort",3,9.26228951447078e-06,0.0012
"explosion",5,1.54371491907846e-05,0.002
"explosives",2,6.17485967631386e-06,4e-04
"federal",63,0.000194508079803886,0.0128
"forces",91,0.00028095611527228,0.01
"front",37,0.000114234904011806,0.0136
"got",302,0.000932403811123392,0.0972
"government",254,0.00078420717889186,0.0356
"half",123,0.000379753870093302,0.0404
"headquarters",14,4.3224017734197e-05,0.0036
"held",45,0.000138934342717062,0.0132
"hotel",28,8.6448035468394e-05,0.0056
"hours",68,0.000209945228994671,0.0228
"immediately",48,0.000148196632231533,0.0168
"interfax",2,6.17485967631386e-06,4e-04
"itar",2,6.17485967631386e-06,4e-04
"kremlin",1,3.08742983815693e-06,4e-04
"later",89,0.000274781255595967,0.0316
"location",35,0.000108060044335492,0.0096
"man",160,0.000493988774105108,0.0416
"moscow",9,2.77868685434123e-05,0.002
"moskvy",1,3.08742983815693e-06,4e-04
"move",114,0.00035196700154989,0.0304
"near",61,0.000188333220127573,0.0208
"negotiations",11,3.39617282197262e-05,0.0016
"news",359,0.00110838731189834,0.09
"ntv",2,6.17485967631386e-06,4e-04
"officers",9,2.77868685434123e-05,0.0024
"officials",44,0.000135846912878905,0.0144
"olympic",2,6.17485967631386e-06,8e-04
"outside",58,0.000179070930613102,0.0208
"penta",1,3.08742983815693e-06,4e-04
"police",79,0.000243906957214397,0.0164
"president",200,0.000617485967631386,0.0196
"press",94,0.000290218404786751,0.0236
"putin",1,3.08742983815693e-06,4e-04
"radio",76,0.000234644667699927,0.0228
"red",218,0.00067305970471821,0.0484
"reported",74,0.000228469808023613,0.02
"rifle",3,9.26228951447078e-06,0.0012
"rushed",2,6.17485967631386e-06,8e-04
"russia",41,0.000126584623364434,0.0036
"russian",24,7.40983161157663e-05,0.0036
"said",766,0.00236497125602821,0.1228
"secure",71,0.000219207518509142,0.0132
"security",253,0.000781119749053703,0.0256
"seized",9,2.77868685434123e-05,0.0028
"service",186,0.000574261949897189,0.0428
"services",133,0.000410628168474871,0.0284
"square",26,8.02731757920801e-05,0.0064
"street",89,0.000274781255595967,0.0308
"surrounded",3,9.26228951447078e-06,0.0012
"taken",70,0.000216120088670985,0.0236
"talk",541,0.0016702995424429,0.08
"talks",24,7.40983161157663e-05,0.0068
"tass",2,6.17485967631386e-06,4e-04
"television",33,0.000101885184659179,0.0076
"threatened",10,3.08742983815693e-05,0.0016
"threatens",7,2.16120088670985e-05,0.0016
"thursday",59,0.000182158360451259,0.0224
"tons",13,4.01365878960401e-05,0.0052
"truck",14,4.3224017734197e-05,0.0036
"unidentified",2,6.17485967631386e-06,8e-04
"vladimir",2,6.17485967631386e-06,8e-04
"wanted",100,0.000308742983815693,0.0292
"within",180,0.000555737370868247,0.0332
"witnesses",12,3.70491580578831e-05,0.0036
"across",108,0.000333442422520948,0.0304
"aid",59,0.000182158360451259,0.0112
"already",172,0.000531037932162992,0.0564
"andrew",22,6.79234564394524e-05,0.0052
"antivirus",1,3.08742983815693e-06,4e-04
"approaches",13,4.01365878960401e-05,0.004
"approaching",8,2.46994387052554e-05,0.0032
"aren",75,0.00023155723786177,0.0284
"article",273,0.000842868345816841,0.064
"asp",178,0.000549562511191933,0.0588
"brandt",1,3.08742983815693e-06,4e-04
"british",67,0.000206857799156514,0.0164
"carry",26,8.02731757920801e-05,0.0096
"combination",14,4.3224017734197e-05,0.0056
"continues",35,0.000108060044335492,0.0128
"corrupt",10,3.08742983815693e-05,0.004
"daily",96,0.000296393264463065,0.0328
"data",415,0.00128128338283513,0.0652
"die",28,8.6448035468394e-05,0.0084
"estimates",5,1.54371491907846e-05,0.002
"ever",166,0.00051251335313405,0.0528
"experts",27,8.33606056302371e-05,0.0092
"firm",36,0.000111147474173649,0.0084
"harbinger",1,3.08742983815693e-06,4e-04
"havoc",7,2.16120088670985e-05,0.0028
"holds",19,5.86611669249816e-05,0.0052
"infections",2,6.17485967631386e-06,8e-04
"irregulars",9,2.77868685434123e-05,0.0012
"klez",9,2.77868685434123e-05,0.0012
"last",318,0.000981802688533903,0.0888
"letup",1,3.08742983815693e-06,4e-04
"magazine",19,5.86611669249816e-05,0.0068
"mail",621,0.00191729392949545,0.1196
"makers",17,5.24863072486678e-05,0.0052
"making",137,0.000422977887827499,0.0456
"may",440,0.00135846912878905,0.118
"mcafee",1,3.08742983815693e-06,4e-04
"merely",19,5.86611669249816e-05,0.0076
"messagelabs",4,1.23497193526277e-05,0.0012
"messages",448,0.0013831685674943,0.092
"month",76,0.000234644667699927,0.0276
"new",924,0.002852785170457,0.2152
"newer",14,4.3224017734197e-05,0.0056
"nuisances",1,3.08742983815693e-06,4e-04
"pcworld",2,6.17485967631386e-06,8e-04
"pernicious",2,6.17485967631386e-06,8e-04
"persistent",6,1.85245790289416e-05,0.0024
"prolific",2,6.17485967631386e-06,4e-04
"report",117,0.000361229291064361,0.0248
"says",220,0.000679234564394524,0.0472
"september",288,0.000889179793389195,0.074
"seventh",9,2.77868685434123e-05,0.0036
"sign",29,8.95354653065509e-05,0.01
"sircam",2,6.17485967631386e-06,8e-04
"software",302,0.000932403811123392,0.0692
"summer",37,0.000114234904011806,0.0108
"surpassed",1,3.08742983815693e-06,4e-04
"symantec",2,6.17485967631386e-06,8e-04
"variants",1,3.08742983815693e-06,4e-04
"variation",3,9.26228951447078e-06,0.0012
"virus",36,0.000111147474173649,0.0092
"viruses",24,7.40983161157663e-05,0.008
"warn",5,1.54371491907846e-05,0.002
"web",322,0.000994152407886531,0.0612
"won",207,0.000639097976498484,0.0428
"world",719,0.00221986205363483,0.1388
"worm",3,9.26228951447078e-06,0.0012
"wreak",3,9.26228951447078e-06,0.0012
"wriggling",1,3.08742983815693e-06,4e-04
"www",2239,0.00691275540763336,0.5516
"adding",61,0.000188333220127573,0.0224
"ask",81,0.000250081816890711,0.0284
"authentic",3,9.26228951447078e-06,0.0012
"carbonara",4,1.23497193526277e-05,8e-04
"centre",13,4.01365878960401e-05,0.0052
"cream",11,3.39617282197262e-05,0.0036
"creme",2,6.17485967631386e-06,4e-04
"deep",30,9.26228951447078e-05,0.0096
"edinburgh",12,3.70491580578831e-05,0.0044
"effect",54,0.000166721211260474,0.0168
"eggs",36,0.000111147474173649,0.0024
"except",97,0.000299480694301222,0.0372
"fat",20,6.17485967631386e-05,0.0068
"favourites",2,6.17485967631386e-06,8e-04
"fraiche",2,6.17485967631386e-06,4e-04
"fresh",16,4.93988774105108e-05,0.0064
"hasn",39,0.00012040976368812,0.0132
"hell",54,0.000166721211260474,0.0188
"identical",20,6.17485967631386e-05,0.0072
"instead",186,0.000574261949897189,0.0616
"jump",31,9.57103249828648e-05,0.0092
"just",1220,0.00376666440255145,0.3012
"lots",90,0.000277868685434123,0.03
"low",55,0.000169808641098631,0.0168
"make",549,0.00169499898114815,0.1456
"microelectronics",5,1.54371491907846e-05,0.002
"mine",30,9.26228951447078e-05,0.012
"never",234,0.000722458582128721,0.0752
"nicely",5,1.54371491907846e-05,0.002
"parmesan",1,3.08742983815693e-06,4e-04
"pasta",6,1.85245790289416e-05,0.0016
"personally",31,9.57103249828648e-05,0.012
"pie",5,1.54371491907846e-05,0.002
"pizza",1,3.08742983815693e-06,4e-04
"quite",145,0.000447677326532755,0.0528
"recipe",18,5.55737370868247e-05,0.0048
"scottish",8,2.46994387052554e-05,0.0028
"seen",147,0.000453852186209068,0.0532
"smith",16,4.93988774105108e-05,0.006
"spaghetti",2,6.17485967631386e-06,8e-04
"stew",10,3.08742983815693e-05,0.004
"stewart",8,2.46994387052554e-05,0.0028
"supposed",62,0.00019142064996573,0.0196
"supposedly",13,4.01365878960401e-05,0.0044
"sxs",5,1.54371491907846e-05,0.002
"university",102,0.000314917843492007,0.0212
"used",359,0.00110838731189834,0.1064
"bacon",6,1.85245790289416e-05,0.0024
"basically",37,0.000114234904011806,0.0144
"beaten",8,2.46994387052554e-05,0.0028
"cooked",4,1.23497193526277e-05,0.0016
"cooks",9,2.77868685434123e-05,0.0032
"egg",13,4.01365878960401e-05,0.0036
"heat",11,3.39617282197262e-05,0.0036
"isn",193,0.000595873958764287,0.0672
"mix",20,6.17485967631386e-05,0.0072
"mixture",3,9.26228951447078e-06,0.0012
"pancetta",2,6.17485967631386e-06,8e-04
"raw",32,9.87977548210217e-05,0.0092
"really",390,0.0012040976368812,0.1272
"understanding",32,9.87977548210217e-05,0.012
"age",35,0.000108060044335492,0.0128
"ageing",3,9.26228951447078e-06,8e-04
"applications",84,0.000259344106405182,0.0192
"arms",17,5.24863072486678e-05,0.006
"attack",66,0.000203770369318357,0.0112
"attractive",9,2.77868685434123e-05,0.0024
"bang",15,4.63114475723539e-05,0.0048
"beautiful",24,7.40983161157663e-05,0.0064
"bed",16,4.93988774105108e-05,0.0064
"berlin",15,4.63114475723539e-05,0.0052
"better",303,0.000935491240961549,0.0876
"bild",1,3.08742983815693e-06,4e-04
"come",202,0.000623660827307699,0.0604
"countless",7,2.16120088670985e-05,0.0028
"disco",1,3.08742983815693e-06,4e-04
"eden",3,9.26228951447078e-06,4e-04
"end",353,0.0010898627328694,0.1024
"famous",24,7.40983161157663e-05,0.0084
"final",31,9.57103249828648e-05,0.0112
"first",587,0.00181232131499812,0.14
"fun",55,0.000169808641098631,0.0192
"gets",120,0.000370491580578831,0.04
"gone",41,0.000126584623364434,0.0144
"heart",33,0.000101885184659179,0.0096
"imagine",43,0.000132759483040748,0.0156
"inheritance",4,1.23497193526277e-05,0.0016
"im",12,3.70491580578831e-05,0.0012
"life",172,0.000531037932162992,0.0476
"lot",208,0.000642185406336641,0.0668
"lure",2,6.17485967631386e-06,8e-04
"moment",47,0.000145109202393376,0.0132
"money",177,0.000546475081353776,0.0452
"newspaper",21,6.48360266012955e-05,0.0072
"nightclub",1,3.08742983815693e-06,4e-04
"offer",63,0.000194508079803886,0.0188
"orgasm",2,6.17485967631386e-06,8e-04
"owner",13,4.01365878960401e-05,0.0044
"partners",90,0.000277868685434123,0.0112
"pass",25,7.71857459539232e-05,0.008
"playboy",3,9.26228951447078e-06,8e-04
"preferably",6,1.85245790289416e-05,0.0016
"promising",9,2.77868685434123e-05,0.0036
"put",212,0.000654535125689269,0.0704
"quickly",51,0.000157458921746003,0.0184
"rolf",1,3.08742983815693e-06,4e-04
"scotsman",4,1.23497193526277e-05,0.0012
"selling",54,0.000166721211260474,0.02
"sent",236,0.000728633441805035,0.0796
"sex",89,0.000274781255595967,0.0188
"sleeps",3,9.26228951447078e-06,8e-04
"soon",82,0.000253169246728868,0.0304
"testament",2,6.17485967631386e-06,8e-04
"told",114,0.00035196700154989,0.032
"unusual",23,7.10108862776093e-05,0.0092
"want",441,0.00136155655862721,0.1224
"wants",91,0.00028095611527228,0.0284
"way",624,0.00192655621900992,0.1588
"wild",13,4.01365878960401e-05,0.0044
"will",1347,0.00415876799199738,0.2164
"woman",63,0.000194508079803886,0.0168
"women",141,0.000435327607180127,0.0216
"year",247,0.000762595170024761,0.0608
"young",60,0.000185245790289416,0.014
"adamson",4,1.23497193526277e-05,0.0016
"added",112,0.000345792141873576,0.0368
"apologies",12,3.70491580578831e-05,0.0048
"congressman",2,6.17485967631386e-06,8e-04
"found",327,0.00100958955707732,0.0956
"gov",29,8.95354653065509e-05,0.0088
"guess",103,0.000318005273330164,0.0388
"htm",91,0.00028095611527228,0.0252
"internet",255,0.000787294608730017,0.0556
"looking",154,0.000475464195076167,0.0488
"maine",12,3.70491580578831e-05,0.0012
"megvjb",1,3.08742983815693e-06,4e-04
"non",189,0.000583524239411659,0.0568
"ons",1,3.08742983815693e-06,4e-04
"people",954,0.00294540806560171,0.1684
"pic",2,6.17485967631386e-06,8e-04
"possibly",35,0.000108060044335492,0.014
"probably",266,0.000821256336949743,0.0896
"residents",12,3.70491580578831e-05,0.004
"right",381,0.00117631076833779,0.1056
"scariest",1,3.08742983815693e-06,4e-04
"smiles",6,1.85245790289416e-05,0.0024
"try",270,0.000833606056302371,0.0872
"virtualcities",1,3.08742983815693e-06,4e-04
"voted",1,3.08742983815693e-06,4e-04
"worst",44,0.000135846912878905,0.0144
"wrote",925,0.00285587260029516,0.308
"account",60,0.000185245790289416,0.0144
"aimed",9,2.77868685434123e-05,0.0032
"also",714,0.00220442490444405,0.1696
"anyone",252,0.000778032319215546,0.0868
"archer",3,9.26228951447078e-06,0.0012
"arse",2,6.17485967631386e-06,8e-04
"art",32,9.87977548210217e-05,0.0096
"artist",18,5.55737370868247e-05,0.0068
"artistic",3,9.26228951447078e-06,0.0012
"artistically",1,3.08742983815693e-06,4e-04
"attacking",4,1.23497193526277e-05,0.0016
"attended",12,3.70491580578831e-05,0.0044
"autobiography",3,9.26228951447078e-06,8e-04
"award",9,2.77868685434123e-05,0.0032
"babs",1,3.08742983815693e-06,4e-04
"backside",2,6.17485967631386e-06,8e-04
"bad",146,0.000450764756370911,0.042
"bare",4,1.23497193526277e-05,0.0012
"barlinnie",2,6.17485967631386e-06,4e-04
"bars",10,3.08742983815693e-05,0.0036
"bastards",6,1.85245790289416e-05,0.0024
"bears",5,1.54371491907846e-05,0.002
"become",112,0.000345792141873576,0.0304
"believes",32,9.87977548210217e-05,0.0104
"bent",7,2.16120088670985e-05,0.0028
"big",177,0.000546475081353776,0.0504
"birdman",1,3.08742983815693e-06,4e-04
"body",83,0.000256256676567025,0.0244
"bollocks",1,3.08742983815693e-06,4e-04
"book",78,0.00024081952737624,0.0212
"books",36,0.000111147474173649,0.0112
"bookstores",3,9.26228951447078e-06,0.0012
"born",23,7.10108862776093e-05,0.0068
"boyle",4,1.23497193526277e-05,4e-04
"bronson",10,3.08742983815693e-05,4e-04
"bronsons",2,6.17485967631386e-06,4e-04
"call",130,0.000401365878960401,0.0428
"called",172,0.000531037932162992,0.0484
"cant",3,9.26228951447078e-06,8e-04
"cell",151,0.000466201905561696,0.054
"chance",42,0.000129672053202591,0.014
"changed",107,0.000330354992682791,0.0332
"charles",11,3.39617282197262e-05,0.004
"choice",63,0.000194508079803886,0.0212
"churned",1,3.08742983815693e-06,4e-04
"coffee",22,6.79234564394524e-05,0.0032
"cold",41,0.000126584623364434,0.0092
"collins",3,9.26228951447078e-06,8e-04
"con",21,6.48360266012955e-05,0.0056
"confinement",1,3.08742983815693e-06,4e-04
"continuing",15,4.63114475723539e-05,0.0052
"contribute",9,2.77868685434123e-05,0.0032
"convicted",5,1.54371491907846e-05,0.0012
"cost",77,0.000237732097538083,0.024
"crap",29,8.95354653065509e-05,0.0116
"creative",37,0.000114234904011806,0.0112
"criminal",31,9.57103249828648e-05,0.0072
"criminals",6,1.85245790289416e-05,0.002
"critical",51,0.000157458921746003,0.0136
"culture",34,0.000104972614497336,0.0112
"current",182,0.000561912230544561,0.0552
"dangerous",32,9.87977548210217e-05,0.0092
"days",110,0.000339617282197262,0.0364
"deal",84,0.000259344106405182,0.0252
"death",57,0.000175983500774945,0.0188
"deeper",9,2.77868685434123e-05,0.0032
"described",30,9.26228951447078e-05,0.0112
"designer",12,3.70491580578831e-05,0.0028
"destructive",9,2.77868685434123e-05,0.0012
"developed",69,0.000213032658832828,0.0152
"diet",3,9.26228951447078e-06,8e-04
"diets",1,3.08742983815693e-06,4e-04
"discover",34,0.000104972614497336,0.0104
"discovered",32,9.87977548210217e-05,0.012
"doesnt",1,3.08742983815693e-06,4e-04
"doors",6,1.85245790289416e-05,0.0024
"doubt",45,0.000138934342717062,0.0168
"drawings",1,3.08742983815693e-06,4e-04
"dream",34,0.000104972614497336,0.01
"drinks",7,2.16120088670985e-05,0.0028
"early",94,0.000290218404786751,0.0228
"earning",3,9.26228951447078e-06,8e-04
"education",48,0.000148196632231533,0.008
"eight",11,3.39617282197262e-05,0.0032
"emotions",5,1.54371491907846e-05,0.002
"environment",53,0.000163633781422317,0.016
"essence",10,3.08742983815693e-05,0.0032
"examine",5,1.54371491907846e-05,0.002
"excuses",4,1.23497193526277e-05,0.0016
"exercise",9,2.77868685434123e-05,0.0032
"expensive",24,7.40983161157663e-05,0.0096
"explains",18,5.55737370868247e-05,0.0072
"explore",9,2.77868685434123e-05,0.0032
"express",9,2.77868685434123e-05,0.0032
"extra",47,0.000145109202393376,0.0176
"fabulously",1,3.08742983815693e-06,4e-04
"face",157,0.000484726484590638,0.022
"fact",149,0.000460027045885382,0.0476
"feeling",24,7.40983161157663e-05,0.0092
"feet",50,0.000154371491907846,0.0128
"fierce",3,9.26228951447078e-06,0.0012
"figures",27,8.33606056302371e-05,0.008
"film",45,0.000138934342717062,0.0084
"films",10,3.08742983815693e-05,0.002
"fists",2,6.17485967631386e-06,8e-04
"fit",21,6.48360266012955e-05,0.0084
"fitness",7,2.16120088670985e-05,4e-04
"five",50,0.000154371491907846,0.0164
"focus",56,0.000172896070936788,0.0124
"fortune",14,4.3224017734197e-05,0.0036
"four",65,0.0002006829394802,0.022
"frank",16,4.93988774105108e-05,0.0064
"freedom",136,0.000419890457989342,0.012
"give",233,0.000719371152290564,0.0792
"glasgow",1,3.08742983815693e-06,4e-04
"glasgows",1,3.08742983815693e-06,4e-04
"good",486,0.00150049090134427,0.132
"gordon",37,0.000114234904011806,0.0132
"grub",7,2.16120088670985e-05,0.0016
"guide",13,4.01365878960401e-05,0.0032
"gurus",1,3.08742983815693e-06,4e-04
"gym",1,3.08742983815693e-06,4e-04
"hands",45,0.000138934342717062,0.0164
"hard",138,0.000426065317665656,0.04
"health",69,0.000213032658832828,0.0092
"hearing",27,8.33606056302371e-05,0.0084
"help",296,0.000913879232094451,0.0732
"hero",3,9.26228951447078e-06,0.0012
"history",90,0.000277868685434123,0.022
"holding",14,4.3224017734197e-05,0.0056
"hollywood",13,4.01365878960401e-05,0.0048
"honest",13,4.01365878960401e-05,0.0048
"hostage",3,9.26228951447078e-06,8e-04
"however",189,0.000583524239411659,0.0568
"hugh",2,6.17485967631386e-06,8e-04
"inches",10,3.08742983815693e-05,0.002
"industry",120,0.000370491580578831,0.0236
"inmates",2,6.17485967631386e-06,4e-04
"inside",65,0.0002006829394802,0.0216
"interest",63,0.000194508079803886,0.0176
"its",8,2.46994387052554e-05,0.0012
"jail",9,2.77868685434123e-05,0.0028
"jailed",7,2.16120088670985e-05,0.002
"jimmy",4,1.23497193526277e-05,0.0012
"joke",24,7.40983161157663e-05,0.008
"judge",25,7.71857459539232e-05,0.0084
"judging",4,1.23497193526277e-05,0.0016
"kick",18,5.55737370868247e-05,0.0072
"known",106,0.000327267562844634,0.0336
"land",32,9.87977548210217e-05,0.0096
"laugh",13,4.01365878960401e-05,0.0052
"lawson",2,6.17485967631386e-06,8e-04
"lazy",6,1.85245790289416e-05,0.0024
"lbs",2,6.17485967631386e-06,8e-04
"lean",3,9.26228951447078e-06,0.0012
"learned",25,7.71857459539232e-05,0.0076
"legendary",7,2.16120088670985e-05,0.0028
"light",46,0.000142021772555219,0.0152
"living",79,0.000243906957214397,0.0212
"load",126,0.000389016159607773,0.0392
"logical",13,4.01365878960401e-05,0.0048
"look",276,0.000852130635331312,0.0884
"lord",12,3.70491580578831e-05,0.004
"machine",100,0.000308742983815693,0.0288
"macmillan",1,3.08742983815693e-06,4e-04
"made",239,0.000737895731319506,0.0708
"mag",8,2.46994387052554e-05,0.0024
"mainly",17,5.24863072486678e-05,0.0068
"majestys",1,3.08742983815693e-06,4e-04
"mantras",1,3.08742983815693e-06,4e-04
"many",437,0.00134920683927458,0.1088
"mean",129,0.000398278449122244,0.0412
"meaningful",11,3.39617282197262e-05,0.0044
"memberships",1,3.08742983815693e-06,4e-04
"men",106,0.000327267562844634,0.02
"metal",8,2.46994387052554e-05,0.0028
"michael",71,0.000219207518509142,0.018
"might",310,0.000957103249828648,0.0892
"million",126,0.000389016159607773,0.024
"millions",33,0.000101885184659179,0.0116
"mind",104,0.00032109270316832,0.0272
"mirage",1,3.08742983815693e-06,4e-04
"mooney",2,6.17485967631386e-06,8e-04
"motivate",6,1.85245790289416e-05,0.0024
"motivational",1,3.08742983815693e-06,4e-04
"moved",42,0.000129672053202591,0.014
"movie",40,0.000123497193526277,0.0096
