"term","frequency","density","occurrence"
"tho",1,5.00435378779538e-06,0.002
"transitional",28,0.000140121906058271,0.056
"type",816,0.00408355269084103,0.418
"types",7,3.50304765145677e-05,0.014
"ues",1,5.00435378779538e-06,0.002
"ules",1,5.00435378779538e-06,0.002
"usands",1,5.00435378779538e-06,0.002
"val",2,1.00087075755908e-05,0.004
"valign",381,0.00190665879315004,0.18
"website",81,0.000405352656811426,0.082
"width",3124,0.0156336012330728,0.344
"will",844,0.0042236745968993,0.442
"wish",195,0.000975848988620099,0.278
"ype",1,5.00435378779538e-06,0.002
"adclick",64,0.000320278642418904,0.028
"advice",25,0.000125108844694885,0.04
"album",8,4.00348303023631e-05,0.016
"cancer",18,9.00783681803169e-05,0.028
"cfm",69,0.000345300411357881,0.03
"child",18,9.00783681803169e-05,0.032
"com",2055,0.0102839470339195,0.654
"community",24,0.000120104490907089,0.03
"day",182,0.000910792389378759,0.146
"days",117,0.00058550939317206,0.13
"deserve",14,7.00609530291353e-05,0.024
"fastest",24,0.000120104490907089,0.044
"fight",10,5.00435378779538e-05,0.02
"group",69,0.000345300411357881,0.112
"growing",33,0.000165143674997248,0.052
"guaranteed",79,0.000395343949235835,0.108
"ilug",78,0.00039033959544804,0.068
"information",368,0.0018416021939087,0.38
"irish",51,0.000255222043177564,0.1
"join",39,0.00019516979772402,0.058
"lbs",29,0.000145126259846066,0.032
"leave",17,8.50740143925215e-05,0.032
"legal",184,0.00092080109695435,0.126
"link",160,0.000800696606047261,0.234
"linux",207,0.00103590123407364,0.1
"listinfo",57,0.000285248165904337,0.114
"listmaster",49,0.000245213335601974,0.098
"lose",59,0.000295256873479928,0.07
"mailman",50,0.000250217689389769,0.1
"maintainer",49,0.000245213335601974,0.098
"manager",35,0.000175152382572838,0.054
"offer",184,0.00092080109695435,0.204
"online",125,0.000625544223474423,0.15
"photo",14,7.00609530291353e-05,0.028
"private",72,0.000360313472721267,0.11
"prizemama",14,7.00609530291353e-05,0.022
"qves",13,6.505659924134e-05,0.022
"risk",93,0.000465404902264971,0.12
"singles",8,4.00348303023631e-05,0.016
"slim",24,0.000120104490907089,0.024
"start",117,0.00058550939317206,0.106
"subscription",89,0.000445387487113789,0.136
"support",59,0.000295256873479928,0.08
"trim",17,8.50740143925215e-05,0.026
"use",167,0.000835727082561829,0.202
"users",78,0.00039033959544804,0.138
"web",157,0.000785683544683875,0.164
"wonderful",19,9.50827219681123e-05,0.034
"www",1475,0.00738142183699819,0.55
"org",101,0.000505439732567334,0.114
"spamassassin",57,0.000285248165904337,0.064
"taint",60,0.000300261227267723,0.07
"zzzz",90,0.000450391840901584,0.086
"absolutely",65,0.0003252829962067,0.086
"account",98,0.000490426671203947,0.082
"adult",43,0.000215187212875201,0.03
"adults",6,3.00261227267723e-05,0.01
"advertisement",29,0.000145126259846066,0.044
"advertisers",16,8.00696606047261e-05,0.02
"affiliated",12,6.00522454535446e-05,0.024
"age",75,0.000375326534084654,0.058
"aid",35,0.000175152382572838,0.024
"allow",57,0.000285248165904337,0.104
"animals",8,4.00348303023631e-05,0.014
"asian",5,2.50217689389769e-05,0.006
"become",48,0.000240208981814178,0.056
"believe",62,0.000310269934843314,0.074
"boyffriend",3,1.50130613633861e-05,0.006
"cams",11,5.50478916657492e-05,0.014
"celebes",8,4.00348303023631e-05,0.008
"celebst",4,2.00174151511815e-05,0.008
"cent",7,3.50304765145677e-05,0.014
"charge",38,0.000190165443936225,0.064
"club",19,9.50827219681123e-05,0.02
"conditions",14,7.00609530291353e-05,0.018
"database",40,0.000200174151511815,0.062
"dollar",22,0.000110095783331498,0.024
"don",236,0.00118102749391971,0.224
"emails",105,0.000525457147718515,0.104
"entertained",6,3.00261227267723e-05,0.012
"fantasies",4,2.00174151511815e-05,0.008
"faq",8,4.00348303023631e-05,0.016
"farm",20,0.000100087075755908,0.018
"feeds",4,2.00174151511815e-05,0.008
"fill",108,0.000540470209081901,0.16
"following",112,0.000560487624233083,0.13
"freaky",9,4.50391840901584e-05,0.008
"friends",36,0.000180156736360634,0.068
"getting",29,0.000145126259846066,0.044
"girls",23,0.000115100137119294,0.028
"give",90,0.000450391840901584,0.116
"hours",98,0.000490426671203947,0.14
"house",20,0.000100087075755908,0.032
"info",86,0.000430374425750403,0.1
"instant",31,0.000155134967421657,0.048
"instructions",75,0.000375326534084654,0.07
"internet",217,0.0010859447719516,0.158
"japanese",5,2.50217689389769e-05,0.008
"jennifer",8,4.00348303023631e-05,0.016
"joe",6,3.00261227267723e-05,0.012
"just",296,0.00148128872118743,0.244
"lace",4,2.00174151511815e-05,0.008
"last",71,0.000355309118933472,0.096
"lesbian",8,4.00348303023631e-05,0.008
"lifetime",58,0.000290252519692132,0.026
"links",16,8.00696606047261e-05,0.028
"live",71,0.000355309118933472,0.062
"long",65,0.0003252829962067,0.092
"manhattan",6,3.00261227267723e-05,0.012
"may",189,0.000945822865893327,0.214
"mega",12,6.00522454535446e-05,0.024
"member",50,0.000250217689389769,0.082
"members",40,0.000200174151511815,0.05
"membership",81,0.000405352656811426,0.028
"miami",6,3.00261227267723e-05,0.012
"million",185,0.000925805450742146,0.17
"month",103,0.000515448440142924,0.11
"morgan",8,4.00348303023631e-05,0.016
"multi",67,0.000335291703782291,0.124
"never",97,0.000485422317416152,0.138
"news",85,0.000425370071962607,0.074
"now",337,0.00168646722648704,0.358
"offering",18,9.00783681803169e-05,0.03
"offers",109,0.000545474562869697,0.134
"one",390,0.0019516979772402,0.33
"operations",5,2.50217689389769e-05,0.008
"opt",83,0.000415361364387017,0.124
"opted",34,0.000170148028785043,0.062
"optout",102,0.000510444086355129,0.07
"part",108,0.000540470209081901,0.162
"pass",13,6.505659924134e-05,0.026
"password",15,7.50653068169307e-05,0.016
"pay",114,0.000570496331808674,0.15
"play",33,0.000165143674997248,0.028
"policies",16,8.00696606047261e-05,0.018
"porn",17,8.50740143925215e-05,0.022
"read",67,0.000335291703782291,0.064
"receive",327,0.00163642368860909,0.298
"received",146,0.000730635653018126,0.118
"removal",81,0.000405352656811426,0.11
"required",77,0.000385335241660244,0.126
"rules",7,3.50304765145677e-05,0.012
"schoolgirls",4,2.00174151511815e-05,0.008
"sex",32,0.000160139321209452,0.028
"sexy",8,4.00348303023631e-05,0.016
"shows",18,9.00783681803169e-05,0.024
"sign",25,0.000125108844694885,0.04
"signed",26,0.00013011319848268,0.032
"simpson",6,3.00261227267723e-05,0.012
"sites",116,0.000580505039384264,0.1
"space",16,8.00696606047261e-05,0.026
"specials",10,5.00435378779538e-05,0.02
"terms",34,0.000170148028785043,0.052
"thousands",86,0.000430374425750403,0.09
"true",63,0.000315274288631109,0.088
"two",79,0.000395343949235835,0.086
"unbelievable",8,4.00348303023631e-05,0.016
"user",39,0.00019516979772402,0.056
"vonolmosatkirekpups",1,5.00435378779538e-06,0.002
"websites",19,9.50827219681123e-05,0.034
"won",14,7.00609530291353e-05,0.026
"xxx",12,6.00522454535446e-05,0.02
"years",129,0.000645561638625604,0.122
"yes",101,0.000505439732567334,0.098
"yet",27,0.000135117552270475,0.036
"cgi",83,0.000415361364387017,0.06
"daily",34,0.000170148028785043,0.044
"deals",14,7.00609530291353e-05,0.014
"events",28,0.000140121906058271,0.04
"freeyankee",3,1.50130613633861e-05,0.002
"like",178,0.000890774974227578,0.216
"might",23,0.000115100137119294,0.04
"nic",1,5.00435378779538e-06,0.002
"ppl",1,5.00435378779538e-06,0.002
"social",50,0.000250217689389769,0.034
"thought",14,7.00609530291353e-05,0.022
"address",290,0.00145126259846066,0.238
"announcing",5,2.50217689389769e-05,0.01
"average",29,0.000145126259846066,0.022
"back",98,0.000490426671203947,0.094
"bill",31,0.000155134967421657,0.05
"blast",2,1.00087075755908e-05,0.004
"call",141,0.000705613884079149,0.154
"calling",8,4.00348303023631e-05,0.01
"cash",147,0.000735640006805921,0.104
"close",14,7.00609530291353e-05,0.024
"communications",9,4.50391840901584e-05,0.014
"compiled",7,3.50304765145677e-05,0.01
"compliance",18,9.00783681803169e-05,0.036
"conceived",4,2.00174151511815e-05,0.006
"continued",8,4.00348303023631e-05,0.01
"cost",65,0.0003252829962067,0.08
"decision",11,5.50478916657492e-05,0.022
"deleted",12,6.00522454535446e-05,0.022
"didn",23,0.000115100137119294,0.03
"either",29,0.000145126259846066,0.046
"entry",2,1.00087075755908e-05,0.004
"errors",7,3.50304765145677e-05,0.012
"ever",78,0.00039033959544804,0.088
"exceptions",5,2.50217689389769e-05,0.01
"excluded",13,6.505659924134e-05,0.026
"experts",12,6.00522454535446e-05,0.024
"fax",107,0.000535465855294106,0.114
"first",138,0.000690600822715763,0.112
"flow",6,3.00261227267723e-05,0.008
"found",31,0.000155134967421657,0.046
"founders",2,1.00087075755908e-05,0.004
"gave",10,5.00435378779538e-05,0.02
"gifting",2,1.00087075755908e-05,0.004
"gigt",2,1.00087075755908e-05,0.004
"got",47,0.000235204628026383,0.074
"grab",5,2.50217689389769e-05,0.01
"gracious",2,1.00087075755908e-05,0.004
"hear",13,6.505659924134e-05,0.022
"hold",10,5.00435378779538e-05,0.014
"hope",21,0.000105091429543703,0.036
"huge",38,0.000190165443936225,0.056
"immediately",52,0.00026022639696536,0.076
"inclusion",4,2.00174151511815e-05,0.006
"invitation",4,2.00174151511815e-05,0.006
"leads",11,5.50478916657492e-05,0.012
"leverage",4,2.00174151511815e-05,0.008
"lifeline",2,1.00087075755908e-05,0.004
"line",103,0.000515448440142924,0.172
"made",163,0.000815709667410647,0.136
"major",32,0.000160139321209452,0.048
"marketing",181,0.000905788035590964,0.148
"message",247,0.00123607538558546,0.288
"miss",17,8.50740143925215e-05,0.026
"mother",14,7.00609530291353e-05,0.02
"next",118,0.000590513746959855,0.098
"omissions",2,1.00087075755908e-05,0.004
"onto",2,1.00087075755908e-05,0.004
"paragraph",10,5.00435378779538e-05,0.016
"partner",35,0.000175152382572838,0.04
"people",362,0.00181157607118193,0.154
"per",118,0.000590513746959855,0.106
"permission",7,3.50304765145677e-05,0.014
"phone",179,0.000895779328015373,0.158
"pick",6,3.00261227267723e-05,0.01
"players",6,3.00261227267723e-05,0.008
"pledge",4,2.00174151511815e-05,0.006
"powerhouse",2,1.00087075755908e-05,0.004
"program",169,0.00084573579013742,0.1
"purpose",22,0.000110095783331498,0.028
"question",21,0.000105091429543703,0.03
"relative",5,2.50217689389769e-05,0.01
"replicate",2,1.00087075755908e-05,0.004
"reply",146,0.000730635653018126,0.202
"ride",4,2.00174151511815e-05,0.008
"sake",4,2.00174151511815e-05,0.008
"sales",68,0.000340296057570086,0.074
"seattle",6,3.00261227267723e-05,0.006
"section",28,0.000140121906058271,0.046
"send",281,0.0014062234143705,0.208
"sender",6,3.00261227267723e-05,0.01
"sending",84,0.000420365718174812,0.078
"sent",160,0.000800696606047261,0.18
"single",11,5.50478916657492e-05,0.02
"sole",8,4.00348303023631e-05,0.016
"spam",48,0.000240208981814178,0.06
"stopped",4,2.00174151511815e-05,0.008
"subject",145,0.00072563129923033,0.182
"sure",79,0.000395343949235835,0.082
"team",14,7.00609530291353e-05,0.026
"tesrewinter",2,1.00087075755908e-05,0.004
"testimonials",16,8.00696606047261e-05,0.02
"think",45,0.000225195920450792,0.06
"tight",4,2.00174151511815e-05,0.008
"time",339,0.00169647593406263,0.312
"tossing",2,1.00087075755908e-05,0.004
"training",33,0.000165143674997248,0.034
"transmissions",4,2.00174151511815e-05,0.008
"turbo",2,1.00087075755908e-05,0.004
"upon",43,0.000215187212875201,0.04
"wait",29,0.000145126259846066,0.046
"want",234,0.00117101878634412,0.23
"way",110,0.000550478916657492,0.114
"wealthy",13,6.505659924134e-05,0.014
"word",37,0.000185161090148429,0.058
"work",153,0.000765666129532693,0.146
"yahoo",34,0.000170148028785043,0.034
"zone",2,1.00087075755908e-05,0.004
"i",8,4.00348303023631e-05,0.004
"we",2,1.00087075755908e-05,0.004
"basetel",12,6.00522454535446e-05,0.012
"career",21,0.000105091429543703,0.034
"company",226,0.00113098395604176,0.236
"contact",150,0.000750653068169307,0.184
"dodyfrhm",1,5.00435378779538e-06,0.002
"employed",16,8.00696606047261e-05,0.032
"employement",6,3.00261227267723e-05,0.012
"energetic",10,5.00435378779538e-05,0.02
"excellent",23,0.000115100137119294,0.042
"experience",30,0.000150130613633861,0.056
"form",313,0.00156636273557995,0.24
"fortune",31,0.000155134967421657,0.05
"home",201,0.00100587511134687,0.164
"income",110,0.000550478916657492,0.092
"individuals",32,0.000160139321209452,0.05
"looking",96,0.000480417963628357,0.072
"motivated",24,0.000120104490907089,0.036
"old",79,0.000395343949235835,0.094
"opportunities",34,0.000170148028785043,0.05
"opportunity",79,0.000395343949235835,0.108
"rate",70,0.000350304765145677,0.086
"self",43,0.000215187212875201,0.064
"smfcfcsll",1,5.00435378779538e-06,0.002
"specialist",11,5.50478916657492e-05,0.022
"train",11,5.50478916657492e-05,0.022
"tremendous",14,7.00609530291353e-05,0.026
"vast",15,7.50653068169307e-05,0.026
"volw",1,5.00435378779538e-06,0.002
"wanted",18,9.00783681803169e-05,0.034
"wealthnow",6,3.00261227267723e-05,0.012
"year",181,0.000905788035590964,0.112
"action",87,0.000435378779538198,0.134
"admanmail",72,0.000360313472721267,0.03
"alabama",6,3.00261227267723e-05,0.008
"alaska",6,3.00261227267723e-05,0.008
"alink",12,6.00522454535446e-05,0.024
"also",203,0.00101588381892246,0.2
"alt",338,0.00169147158027484,0.124
"amount",51,0.000255222043177564,0.062
"arizona",5,2.50217689389769e-05,0.006
"arkansas",5,2.50217689389769e-05,0.006
"asp",283,0.00141623212194609,0.196
"banner",11,5.50478916657492e-05,0.012
"bannerads",5,2.50217689389769e-05,0.002
"bgcolor",837,0.00418864412038473,0.336
"bin",57,0.000285248165904337,0.05
"birth",4,2.00174151511815e-05,0.008
"blank",92,0.000460400548477175,0.052
"california",17,8.50740143925215e-05,0.03
"carolina",11,5.50478916657492e-05,0.008
"change",82,0.000410357010599221,0.084
"class",411,0.0020567894067839,0.07
"colorado",6,3.00261227267723e-05,0.008
"columbia",7,3.50304765145677e-05,0.008
"connecticut",5,2.50217689389769e-05,0.006
"copyright",21,0.000105091429543703,0.04
"correspondence",23,0.000115100137119294,0.042
"dakota",10,5.00435378779538e-05,0.006
"date",33,0.000165143674997248,0.042
"delaware",5,2.50217689389769e-05,0.006
"directed",22,0.000110095783331498,0.04
"dist",2,1.00087075755908e-05,0.004
"div",601,0.00300761662646502,0.16
"easy",108,0.000540470209081901,0.132
"ext",110,0.000550478916657492,0.058
"female",20,0.000100087075755908,0.014
"ffcc",40,0.000200174151511815,0.026
"ffccff",4,2.00174151511815e-05,0.006
"ffffff",675,0.00337793880676188,0.264
"florida",9,4.50391840901584e-05,0.01
"formsbutton",1,5.00435378779538e-06,0.002
"formscombobox",3,1.50130613633861e-05,0.002
"formsradiobutton",4,2.00174151511815e-05,0.002
"freequoteform",1,5.00435378779538e-06,0.002
"freequotes",1,5.00435378779538e-06,0.002
"future",116,0.000580505039384264,0.172
"georgia",16,8.00696606047261e-05,0.016
"gif",749,0.00374826098705874,0.186
"hampshire",5,2.50217689389769e-05,0.006
"hawaii",13,6.505659924134e-05,0.01
"headline",4,2.00174151511815e-05,0.008
"hidden",182,0.000910792389378759,0.104
"highly",9,4.50391840901584e-05,0.016
"hptbcolor",1,5.00435378779538e-06,0.002
"hspace",34,0.000170148028785043,0.038
"idaho",7,3.50304765145677e-05,0.008
"illinois",13,6.505659924134e-05,0.022
"images",707,0.00353807812797133,0.144
"img",1066,0.00533464113778988,0.24
"inc",21,0.000105091429543703,0.028
"include",58,0.000290252519692132,0.102
"indiana",5,2.50217689389769e-05,0.006
"input",520,0.0026022639696536,0.104
"instantly",15,7.50653068169307e-05,0.03
"iowa",5,2.50217689389769e-05,0.006
"island",49,0.000245213335601974,0.01
"iso",111,0.000555483270445287,0.2
"jersey",18,9.00783681803169e-05,0.02
"jpg",284,0.00142123647573389,0.162
"kansas",7,3.50304765145677e-05,0.008
"kentucky",5,2.50217689389769e-05,0.006
"key",116,0.000580505039384264,0.052
"leftmargin",21,0.000105091429543703,0.042
"logo",33,0.000165143674997248,0.044
"louisiana",6,3.00261227267723e-05,0.008
"mailing",150,0.000750653068169307,0.192
"maine",5,2.50217689389769e-05,0.006
"makes",23,0.000115100137119294,0.042
"male",37,0.000185161090148429,0.026
"maryland",5,2.50217689389769e-05,0.006
"massachusetts",5,2.50217689389769e-05,0.006
"method",107,0.000535465855294106,0.132
"mexico",9,4.50391840901584e-05,0.01
"michigan",5,2.50217689389769e-05,0.006
"middle",121,0.000605526808323241,0.116
"minnesota",5,2.50217689389769e-05,0.006
"mississippi",5,2.50217689389769e-05,0.006
"missouri",5,2.50217689389769e-05,0.006
"montana",5,2.50217689389769e-05,0.006
"months",81,0.000405352656811426,0.06
"must",103,0.000515448440142924,0.146
"nbsp",1631,0.00816210102789427,0.286
"nebraska",5,2.50217689389769e-05,0.006
"need",175,0.000875761912864192,0.186
"netnoteinc",68,0.000340296057570086,0.034
"nevada",8,4.00348303023631e-05,0.01
"north",30,0.000150130613633861,0.02
"nothing",47,0.000235204628026383,0.066
"nowrap",5,2.50217689389769e-05,0.004
"ohio",6,3.00261227267723e-05,0.008
"oklahoma",6,3.00261227267723e-05,0.008
"option",1099,0.00549978481278712,0.026
"oregon",5,2.50217689389769e-05,0.006
"pennsylvania",5,2.50217689389769e-05,0.006
"percent",5,2.50217689389769e-05,0.006
"plan",66,0.000330287349994495,0.082
"products",92,0.000460400548477175,0.12
"protect",55,0.000275239458328746,0.064
"quotes",26,0.00013011319848268,0.034
"radio",13,6.505659924134e-05,0.01
"rated",17,8.50740143925215e-05,0.022
"receiving",72,0.000360313472721267,0.12
"reliaquote",9,4.50391840901584e-05,0.002
"reserved",12,6.00522454535446e-05,0.024
"residence",2,1.00087075755908e-05,0.004
"resp",1,5.00435378779538e-06,0.002
"rhode",5,2.50217689389769e-05,0.006
"rights",50,0.000250217689389769,0.044
"select",66,0.000330287349994495,0.034
"selected",31,0.000155134967421657,0.032
"sendgreatoffers",14,7.00609530291353e-05,0.028
"server",118,0.000590513746959855,0.056
"services",121,0.000605526808323241,0.136
"sgo",28,0.000140121906058271,0.028
"sourceid",1,5.00435378779538e-06,0.002
"south",50,0.000250217689389769,0.026
"src",1041,0.00520953229309499,0.244
"submit",101,0.000505439732567334,0.11
"submitbutton",1,5.00435378779538e-06,0.002
"subscribed",30,0.000150130613633861,0.058
"sufficient",4,2.00174151511815e-05,0.006
"tahoma",392,0.00196170668481579,0.066
"target",115,0.000575500685596469,0.072
"tennessee",9,4.50391840901584e-05,0.01
"termlife",5,2.50217689389769e-05,0.01
"texas",5,2.50217689389769e-05,0.006
"theadmanager",89,0.000445387487113789,0.03
"title",304,0.0015213235514898,0.292
"tobacco",24,0.000120104490907089,0.022
"today",183,0.000915796743166555,0.22
"top",593,0.00296758179616266,0.246
"topmargin",23,0.000115100137119294,0.044
"unsubscribe",138,0.000690600822715763,0.17
"unsubscribed",34,0.000170148028785043,0.056
"used",47,0.000235204628026383,0.074
"utah",5,2.50217689389769e-05,0.006
"value",1102,0.00551479787415051,0.18
"verdana",934,0.00467406643780089,0.184
"vermont",5,2.50217689389769e-05,0.006
"virginia",14,7.00609530291353e-05,0.014
"vlink",25,0.000125108844694885,0.05
"vspace",31,0.000155134967421657,0.038
"washington",23,0.000115100137119294,0.032
"west",23,0.000115100137119294,0.022
"wisconsin",5,2.50217689389769e-05,0.006
"wyoming",5,2.50217689389769e-05,0.006
"york",29,0.000145126259846066,0.034
"yuesbhwakmlk",5,2.50217689389769e-05,0.002
"big",97,0.000485422317416152,0.07
"boys",3,1.50130613633861e-05,0.006
"bull",7,3.50304765145677e-05,0.014
"doorstep",1,5.00435378779538e-06,0.002
"drive",63,0.000315274288631109,0.042
"firemail",1,5.00435378779538e-06,0.002
"losing",16,8.00696606047261e-05,0.022
"maker",4,2.00174151511815e-05,0.008
"number",129,0.000645561638625604,0.122
"period",16,8.00696606047261e-05,0.028
"print",18,9.00783681803169e-05,0.026
"real",75,0.000375326534084654,0.072
"responding",1,5.00435378779538e-06,0.002
"short",23,0.000115100137119294,0.04
"stop",40,0.000200174151511815,0.04
"successleads",1,5.00435378779538e-06,0.002
"system",95,0.000475413609840561,0.1
"telephone",37,0.000185161090148429,0.054
"tired",13,6.505659924134e-05,0.018
"addresses",110,0.000550478916657492,0.066
"advertising",69,0.000345300411357881,0.064
"blue",55,0.000275239458328746,0.03
"business",384,0.00192167185451343,0.21
"city",129,0.000645561638625604,0.102
"comments",18,9.00783681803169e-05,0.02
"consultant",7,3.50304765145677e-05,0.014
"dear",65,0.0003252829962067,0.126
"details",41,0.000205178505299611,0.054
"direct",62,0.000310269934843314,0.076
"discuss",12,6.00522454535446e-05,0.02
"effective",23,0.000115100137119294,0.026
"etc",38,0.000190165443936225,0.048
"jbjk",4,2.00174151511815e-05,0.008
"low",90,0.000450391840901584,0.128
"market",129,0.000645561638625604,0.102
"maximize",2,1.00087075755908e-05,0.004
"needs",31,0.000155134967421657,0.038
"pricing",21,0.000105091429543703,0.02
"promote",26,0.00013011319848268,0.02
"red",79,0.000395343949235835,0.056
"ricardo",2,1.00087075755908e-05,0.004
"tgbknkiys",5,2.50217689389769e-05,0.01
"accessories",5,2.50217689389769e-05,0.008
"antennas",1,5.00435378779538e-06,0.002
"assistance",61,0.000305265581055518,0.088
"audiovox",1,5.00435378779538e-06,0.002
"batteries",1,5.00435378779538e-06,0.002
"booster",5,2.50217689389769e-05,0.008
"buds",2,1.00087075755908e-05,0.004
"car",47,0.000235204628026383,0.04
"cases",22,0.000110095783331498,0.022
"cellular",3,1.50130613633861e-05,0.006
"chargers",1,5.00435378779538e-06,0.002
"ear",1,5.00435378779538e-06,0.002
"ericsson",1,5.00435378779538e-06,0.002
"hands",11,5.50478916657492e-05,0.02
"holsters",1,5.00435378779538e-06,0.002
"ion",5,2.50217689389769e-05,0.01
"lithium",1,5.00435378779538e-06,0.002
"mailings",101,0.000505439732567334,0.124
"merchant",22,0.000110095783331498,0.012
"motorola",3,1.50130613633861e-05,0.006
"nextel",1,5.00435378779538e-06,0.002
"nokia",1,5.00435378779538e-06,0.002
"phones",4,2.00174151511815e-05,0.006
"plates",2,1.00087075755908e-05,0.004
"prices",46,0.000230200274238588,0.068
"qualcomm",1,5.00435378779538e-06,0.002
"removemenow",1,5.00435378779538e-06,0.002
"request",61,0.000305265581055518,0.084
"samsung",1,5.00435378779538e-06,0.002
"super",21,0.000105091429543703,0.018
"thank",65,0.0003252829962067,0.11
"wholesale",13,6.505659924134e-05,0.016
